Date,Category,Description,Amount
2026-08-01,Food,Breakfast,100
2026-08-01,Transport,Rickshaw,261
2026-08-02,Transport,Rickshaw,187
2026-08-03,Education,Stationery,424
2026-08-04,Entertainment,Cafe,561
2026-08-05,Shopping,Clothes,848
2026-08-05,Health,Doctor,959
2026-08-06,Health,Doctor,885
2026-08-07,Bills,Electricity,1022
2026-08-08,Food,Snacks,257
2026-08-09,Transport,Bus,142
2026-08-09,Education,Course,406
2026-08-10,Education,Course,332
2026-08-11,Entertainment,Music,669
2026-08-12,Shopping,Household,1807
2026-08-13,Health,Medicine,543
2026-08-13,Bills,Mobile,1054
2026-08-14,Bills,Mobile,980
2026-08-15,Food,Dinner,414
2026-08-16,Transport,Ride Share,97
2026-08-17,Education,Book,240
2026-08-17,Entertainment,Game,851
2026-08-18,Entertainment,Game,777
2026-08-19,Shopping,Accessories,565
2026-08-20,Health,Health Check,201
2026-08-21,Bills,Internet,938
2026-08-21,Food,Lunch,244
2026-08-22,Food,Lunch,170
2026-08-23,Transport,CNG,52
2026-08-24,Education,Printing,1199
2026-08-25,Entertainment,Movie,885
2026-08-25,Shopping,Shoes,1598
2026-08-26,Shopping,Shoes,1524
2026-08-27,Health,Pharmacy,1160
2026-08-28,Bills,Water,896
2026-08-29,Food,Breakfast,327
2026-08-29,Transport,Rickshaw,81
2026-08-30,Transport,Rickshaw,258
2026-08-31,Education,Stationery,1107
